                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,            replay_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5993,                 13.316,                 2.2362,                0.13395,                0.22005,                0.14129,                0.08271,                 1.9823,                 7.2565,                  2.229,                0.22953,             0.00036862,             0.00036862,             0.00036862
                      2,                  2.568,                 8.3992,                 2.2475,                0.63328,                 0.1528,                0.19647,                0.09057,                 2.2915,                 5.7175,                 2.2991,                0.35889,             0.00072432,             0.00072432,             0.00072432
                      3,                 2.6413,                 8.8971,                 2.2495,                0.11238,                0.30599,                0.21993,                0.10712,                 2.0909,                 5.9502,                 2.2759,                 0.2803,              0.0010654,              0.0010654,              0.0010654
                      4,                  2.669,                 7.9083,                 2.2044,                0.53394,                0.21658,                0.24962,                 0.1151,                 2.2727,                 5.2896,                 2.3004,                0.28782,               0.001045,               0.001045,               0.001045
                      5,                 2.6597,                 7.8368,                 2.1873,                0.19031,                0.38568,                0.28044,                0.13846,                 2.2622,                 5.9081,                 2.3065,                0.37837,               0.001023,               0.001023,               0.001023
                      6,                 2.8159,                 6.8338,                 2.2538,                0.18543,                0.41469,                0.29809,                0.14922,                  2.406,                 5.5268,                 2.3447,                0.20273,               0.001001,               0.001001,               0.001001
                      7,                 2.7189,                 6.2065,                 2.2264,                0.17436,                0.44422,                0.31375,                0.16077,                 2.2376,                 5.0949,                 2.3068,                0.37605,             0.00097901,             0.00097901,             0.00097901
                      8,                   2.72,                   6.15,                 2.2413,                0.17945,                0.44947,                0.35079,                0.17503,                 2.4191,                  4.777,                 2.3338,                0.33413,             0.00095702,             0.00095702,             0.00095702
                      9,                 2.8667,                 5.4533,                 2.2392,                0.38194,                0.35613,                0.33929,                 0.1679,                 2.5819,                   4.62,                 2.3609,                0.43659,             0.00093502,             0.00093502,             0.00093502
                     10,                  3.053,                 7.3681,                 2.2437,                0.19358,                0.48825,                0.37116,                0.19277,                 2.3268,                 4.8044,                 2.2754,                0.43712,             0.00091302,             0.00091302,             0.00091302
                     11,                 2.9843,                 5.6051,                 2.2013,                 0.3986,                0.33712,                0.33627,                 0.1749,                  2.415,                 4.8294,                 2.2959,                0.34912,             0.00089102,             0.00089102,             0.00089102
                     12,                 2.9793,                 5.0394,                 2.2275,                0.20094,                0.48038,                0.36053,                0.18278,                 2.4852,                 5.0089,                 2.3072,                0.24037,             0.00086902,             0.00086902,             0.00086902
                     13,                   2.88,                 5.8335,                 2.2001,                  0.161,                0.44811,                0.32629,                0.16618,                 2.5903,                 4.7928,                 2.3072,                0.37301,             0.00084703,             0.00084703,             0.00084703
                     14,                 2.9757,                 5.5108,                 2.2567,                0.52844,                0.40934,                0.36651,                0.19075,                 2.5798,                 4.5429,                  2.305,                0.34674,             0.00082503,             0.00082503,             0.00082503
                     15,                 2.8647,                 5.7732,                 2.1965,                0.18077,                0.49488,                0.37226,                0.18835,                 2.6349,                 4.4278,                 2.2919,                0.42246,             0.00080303,             0.00080303,             0.00080303
                     16,                 3.0093,                 5.3673,                 2.1586,                 0.5609,                0.36234,                0.34502,                0.17711,                  2.525,                 4.5213,                 2.2727,                0.28315,             0.00078103,             0.00078103,             0.00078103
                     17,                 3.1149,                 5.0365,                 2.2066,                0.20002,                0.50766,                0.38381,                0.19505,                   2.68,                 4.9501,                 2.3083,                0.24366,             0.00075904,             0.00075904,             0.00075904
                     18,                 3.0328,                 4.6315,                 2.2118,                0.63397,                0.35143,                 0.4055,                0.20082,                 2.7358,                 4.2006,                 2.2777,                 0.3678,             0.00073704,             0.00073704,             0.00073704
                     19,                 3.2654,                 5.4993,                 2.2183,                0.24059,                0.45164,                0.36251,                0.18437,                 2.8479,                 5.5518,                  2.323,                0.33262,             0.00071504,             0.00071504,             0.00071504
                     20,                 3.0866,                 5.5335,                 2.1064,                0.20377,                0.50853,                0.37615,                0.19808,                 2.7882,                 4.7952,                 2.3015,                0.24913,             0.00069304,             0.00069304,             0.00069304
                     21,                 3.2751,                 5.0424,                 2.1816,                0.66388,                0.32877,                0.39102,                0.19919,                 2.7142,                 4.3956,                 2.2617,                0.24761,             0.00067104,             0.00067104,             0.00067104
                     22,                 3.1706,                 4.3667,                 2.2077,                0.23413,                 0.5008,                0.40573,                0.21536,                 2.9462,                 4.6967,                 2.3043,                0.30853,             0.00064905,             0.00064905,             0.00064905
                     23,                  3.198,                 4.2509,                 2.1543,                0.21249,                0.50852,                 0.3929,                0.20828,                 2.8504,                 4.8188,                 2.2735,                0.24738,             0.00062705,             0.00062705,             0.00062705
                     24,                 3.2483,                 5.3699,                 2.1471,                0.21456,                0.51168,                0.39099,                0.20604,                 2.9245,                  4.751,                 2.2903,                0.47145,             0.00060505,             0.00060505,             0.00060505
                     25,                 3.3546,                 4.6972,                  2.137,                0.24303,                0.43176,                0.35105,                0.17871,                 3.0273,                 5.8949,                 2.3237,                0.28966,             0.00058305,             0.00058305,             0.00058305
                     26,                 3.3619,                  5.214,                 2.1725,                0.34086,                0.45518,                0.40862,                0.21017,                 3.0633,                 4.5709,                 2.3162,                0.23921,             0.00056105,             0.00056105,             0.00056105
                     27,                 3.3173,                 4.7059,                 2.1578,                0.21646,                0.51882,                0.40642,                0.20973,                 3.0054,                 4.8733,                  2.276,                0.21945,             0.00053906,             0.00053906,             0.00053906
                     28,                 3.5093,                 4.8619,                 2.1632,                0.22476,                0.51634,                0.40856,                0.21491,                 3.0298,                 4.9834,                 2.2844,                0.23081,             0.00051706,             0.00051706,             0.00051706
                     29,                 3.3723,                 4.5097,                 2.1714,                0.70594,                0.30407,                0.39663,                0.20639,                 3.0137,                 4.2139,                  2.277,                0.14178,             0.00049506,             0.00049506,             0.00049506
                     30,                 3.2389,                 4.1476,                  2.104,                0.70007,                0.31043,                0.38564,                0.20319,                 3.0405,                 4.3156,                 2.2785,                0.28336,             0.00047306,             0.00047306,             0.00047306
                     31,                 3.4151,                 4.0657,                 2.1222,                0.67657,                0.31484,                0.38138,                0.19889,                 3.1058,                 4.0746,                 2.2657,                0.38901,             0.00045107,             0.00045107,             0.00045107
                     32,                 3.3729,                 4.0386,                 2.1496,                 0.4867,                0.31984,                0.39605,                0.20184,                 3.1285,                 4.2929,                 2.2662,               0.045898,             0.00042907,             0.00042907,             0.00042907
                     33,                   3.52,                 4.0268,                 2.1316,                0.44861,                0.36289,                0.39546,                0.19905,                 3.2735,                 4.3594,                 2.2756,                0.30273,             0.00040707,             0.00040707,             0.00040707
                     34,                 3.5881,                 4.7026,                  2.112,                0.35789,                0.41253,                0.38182,                0.20053,                 3.2055,                 4.7058,                 2.2722,                0.43138,             0.00038507,             0.00038507,             0.00038507
